"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-27","15:34:00",6374.42,"1 Mar 30 6230 P STO 10.05 | 1 Mar 30 6130 P BTO 3.40",655,6366.16,"2026-03-27","15:45:00",835,"Exited at Specified Time",-184.8,-28.21374045801527,1,970696.2,8740,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.956,3.062,-23.27,-79.47,1.53,-25.95
"2026-03-27","15:33:00",6372.82,"1 Mar 30 6520 C STO 8.10 | 1 Mar 30 6620 C BTO 1.80",620,6366.16,"2026-03-27","15:45:00",600,"Exited at Specified Time",15.2,2.451612903225806,1,970881,8705,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.5,4.105,-23.27,-81.07,7.26,-8.87
"2026-03-27","15:33:00",6372.82,"1 Mar 30 6230 P STO 10.20 | 1 Mar 30 6130 P BTO 3.45",665,6366.16,"2026-03-27","15:45:00",835,"Exited at Specified Time",-174.8,-26.285714285714292,1,970865.8,8705,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.957,3.062,-23.27,-81.07,3.01,-24.06
"2026-03-27","15:32:00",6375.11,"1 Mar 30 6520 C STO 8.15 | 1 Mar 30 6620 C BTO 1.80",625,6366.16,"2026-03-27","15:45:00",600,"Exited at Specified Time",20.2,3.232,1,971040.6,8715,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.528,4.105,-23.27,-78.78,8,-8
"2026-03-27","15:32:00",6375.11,"1 Mar 30 6230 P STO 10.10 | 1 Mar 30 6130 P BTO 3.50",650,6366.16,"2026-03-27","15:45:00",835,"Exited at Specified Time",-189.8,-29.200000000000003,1,971020.4,8715,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.886,3.062,-23.27,-78.78,0.77,-26.92
"2026-03-27","15:31:00",6374.46,"1 Mar 30 6520 C STO 8.00 | 1 Mar 30 6620 C BTO 1.75",615,6366.16,"2026-03-27","15:45:00",600,"Exited at Specified Time",10.2,1.6585365853658534,1,971210.2,8720,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.571,4.105,-23.27,-79.43,6.5,-9.76
"2026-03-27","15:31:00",6374.46,"1 Mar 30 6230 P STO 10.10 | 1 Mar 30 6130 P BTO 3.45",655,6366.16,"2026-03-27","15:45:00",835,"Exited at Specified Time",-184.8,-28.21374045801527,1,971200,8720,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.928,3.062,-23.27,-79.43,1.53,-25.95
"2026-03-27","15:30:00",6373.23,"1 Mar 30 6520 C STO 8.30 | 1 Mar 30 6620 C BTO 1.90",630,6366.16,"2026-03-27","15:45:00",600,"Exited at Specified Time",25.2,4,1,971384.8,8730,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.368,4.105,-23.27,-80.66,8.73,-7.14
"2026-03-27","15:30:00",6373.23,"1 Mar 30 6225 P STO 10.00 | 1 Mar 30 6125 P BTO 3.60",630,6366.16,"2026-03-27","15:45:00",780,"Exited at Specified Time",-154.8,-24.571428571428573,1,971359.6,8730,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.778,3,-23.27,-80.66,3.97,-22.22
"2026-03-27","15:29:00",6374.04,"1 Mar 30 6525 C STO 7.90 | 1 Mar 30 6625 C BTO 1.80",600,6366.16,"2026-03-27","15:45:00",565,"Exited at Specified Time",30.2,5.033333333333333,1,971514.4,8770,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,4.389,4.171,-23.27,-79.85,10.83,-5
"2026-03-27","15:29:00",6374.04,"1 Mar 30 6225 P STO 9.90 | 1 Mar 30 6125 P BTO 3.60",620,6366.16,"2026-03-27","15:45:00",780,"Exited at Specified Time",-164.8,-26.580645161290324,1,971484.2,8770,"SPX","18 3:21 - 3:40 Friday - 1DTE IC  .25x EOD Close",2.4,2.4,2.75,3,-23.27,-79.85,2.42,-24.19
