"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-03-31","10:27:00",6446.38,"1 Apr 1 6530 C STO 8.00 | 1 Apr 1 6630 C BTO 0.80",710,6472.17,"2026-03-31","12:40:00",920,"Stop Loss",-214.8,-30.253521126760564,1,962541,8505,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,10,14.5,52.16,50.5,61.27,-52.11
"2026-03-31","10:27:00",6446.38,"1 Apr 1 6355 P STO 10.40 | 1 Apr 1 6255 P BTO 2.55",775,6430.53,"2026-03-31","10:43:00",1000,"Stop Loss",-229.8,-29.65161290322581,1,1007045.4,8505,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,4.078,4.078,52.16,50.5,3.23,-27.1
"2026-03-31","10:26:00",6443.9,"1 Apr 1 6530 C STO 7.60 | 1 Apr 1 6630 C BTO 0.75",675,6472.17,"2026-03-31","12:40:00",875,"Stop Loss",-204.8,-30.340740740740742,1,962336.2,8570,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,10.133,14.5,52.16,48.02,59.26,-60
"2026-03-31","10:26:00",6443.9,"1 Apr 1 6350 P STO 10.00 | 1 Apr 1 6250 P BTO 2.45",745,6426.52,"2026-03-31","10:44:00",965,"Stop Loss",-224.8,-30.174496644295303,1,1005511.8,8570,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,4.082,4.148,52.16,48.02,6.71,-28.86
"2026-03-31","10:25:00",6446.09,"1 Apr 1 6530 C STO 7.95 | 1 Apr 1 6630 C BTO 0.80",705,6472.17,"2026-03-31","12:40:00",915,"Stop Loss",-214.8,-30.46808510638298,1,962121.4,8565,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,9.938,14.5,52.16,50.21,60.99,-53.19
"2026-03-31","10:25:00",6446.09,"1 Apr 1 6350 P STO 9.70 | 1 Apr 1 6250 P BTO 2.40",720,6430.53,"2026-03-31","10:43:00",930,"Stop Loss",-214.8,-29.833333333333336,1,1006830.6,8565,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,4.042,3.967,52.16,50.21,3.47,-25.69
"2026-03-31","10:24:00",6444.7,"1 Apr 1 6530 C STO 7.70 | 1 Apr 1 6630 C BTO 0.75",685,6472.17,"2026-03-31","12:40:00",890,"Stop Loss",-209.8,-30.627737226277375,1,961911.6,8565,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,10.267,14.5,52.16,48.82,59.85,-57.66
"2026-03-31","10:24:00",6444.7,"1 Apr 1 6350 P STO 9.90 | 1 Apr 1 6250 P BTO 2.40",740,6426.52,"2026-03-31","10:44:00",955,"Stop Loss",-219.8,-29.702702702702705,1,1005292,8565,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,4.125,4.148,52.16,48.82,6.08,-29.73
"2026-03-31","10:23:00",6440.4,"1 Apr 1 6525 C STO 8.00 | 1 Apr 1 6625 C BTO 0.80",710,6472.17,"2026-03-31","12:40:00",920,"Stop Loss",-214.8,-30.253521126760564,1,961696.8,8550,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,10,14.5,52.16,44.52,55.63,-71.13
"2026-03-31","10:23:00",6440.4,"1 Apr 1 6345 P STO 9.80 | 1 Apr 1 6245 P BTO 2.40",730,6423.43,"2026-03-31","10:48:00",945,"Stop Loss",-219.8,-30.10958904109589,1,1003303.8,8550,"SPX","03 10:21 - 10:40 - 1DTE IC  .25x EOD Close",2.4,2.4,4.083,4.211,52.16,44.52,13.01,-25.34
